ID,Title,Description
P0,Limited research,"Just a simple research. Web searching, AI asking and putting it all together in a dataset."
P1,Customer focus research,Who is your main customer? Who will benefit from your service? How can you deliver a value?
P2,Technical focus research,How to make what you wana make? What technologies would you use? How can they work together?
P3,Full scale research,You throw all your resources and efforts to make your product the best fit possible. It will help in a long run... probably.
P4,Essential prototype,This prototipe will just show that your idea works. It is ugly. It is buggy. But it proves the very basic concept.
P5,Service prototype,"This isn't a technical prototype. You have your landing page up and running, and you should do everything else by hand with every client."
P6,Technical prototype,"Now you know, that everything is working on the technical side. User experience? Never heard about this."
P7,Product MVP,This MVP proves everything and you can ship it to selected audience. It is well designed. Well built. And it took time and effort to make it this early.
P8,Mission only,Now your crew knows why are you doing what you are doing.
P9,Values and Strategy,Values will help your team to make important decisions. Strategy will navigate them on which decisions they should make.
P10,Values and Mission,Values will help your team to make important decisions. Mission will give them purpose to make these decisions.
P11,"Values, Mission and Strategy","You have done it all. Now your team knows why, how, and which decisions they should make. It invokes confidence."
P12,Internal testing,Your team and friends are enough to test your product. There is no need to gather the audience.
P13,Medium focus group testing,Your testing group consists of a few dozens of people both from your audience and new ones. It will help to catch criticals in your product.
P14,Real-world testing,It is relatively good idea to just put your product online and acquire some users to simply use it. If you are ready to rapidly fix all appearing problems.
P15,Cascade testing with user groups,"Full-scale testing with several stages, each bigger. You have prepared and made it all"
P16,Website building,"You definitely need a website. Anything else? Probaply, not."
P17,Social media setup,Who needs a website when you can make it all with a proper social media account?
P18,Website and Social Media,"It is often easier to gather audience via social media, but they should be landed somewhere."
P19,Full marketing commitment,"Social media, website, community hub, press releases, and contacts with influencers. You should have it all to succeed."
P20,Single server,Simple backand will be more then enough. So why bother and spend additional money on an ifrastructure? What could possibly go wrong?
P21,Cloud infrastructure,"Why should we bother to make our own server if we can use a cloud? It is a little bit more expensive, but definitely much more convenient."
P22,Multiple servers,We know how to make it on our own with all the redundancy we need to provide a consistent service to our clients.
P23,DevOPS team with an infrastructure,Infrastructure needs to be carfully planned and maintained. So we need to hire a DevOPS team to help use make this project.
P24,Self application,Just prepare all the documents and send it according to instructions on a DPG website.
P25,Contact DPG office to assist,"We can make it with the DPG office, if they are able to help."
P26,Address SDG relevance only,You have checked if your product is SDG relevant or not. If it is - so why bother? It will work anyway.
P27,DPG indicator checklist,"You have your checklist, so you go thugh all 9 indicators and prepare properly your application."
P28,Release marketing campaign,Your team is fully focused on a marketing campaign for the release. The technical side of things is not in focus.
P29,Release event,Just throw a release event to attract an audience. They will watch the stream and then they will use your product.
P30,Some release preparations,"You clearly have not enough time to make it all, but you can address the majore issues and prepare the campaign on a decent level."
P31,Full scale release preparations,"Your team is working on the release, giving attention to everything. It will take time. But since you have one, you can afford it."
P32,Essential support only,"We don't have enough resources for the full scale support, so we will do only bare essentials."
P33,Phone and email customer support,We will conduct a customer support via both phone and email.
P34,Support with LiveOPS,"We will not only make a support up and running, but also establish regular events and activities for our clients (LiveOPS)."
P35,Outsourced support,We no need our team to make a customer support. Let's hire an outsource company to make it for us!
P36,"Advanced AI Content","Integrate AI to automatically generate educational content. This saves time and resources but may affect content quality if not supervised.","Use AI for content","Content is generated quickly, allowing faster updates and scaling. Some quality checks are needed.","Create content manually","High-quality content ensures better engagement but takes more time and effort."
P37,"Interactive Learning Modules","Develop interactive modules like quizzes and simulations to enhance learning.","Implement interactive modules","Users engage more deeply with the content, increasing retention and satisfaction.","Stick to static content","Simpler approach, saves development time, but less engaging for users."
P38,"Mobile App Development","Expand your platform by developing a mobile app for iOS and Android.","Develop mobile apps","Reaches a larger audience, increases accessibility, higher engagement, but requires more budget and development time.","Focus on web only","Saves cost and time, but misses users who prefer mobile access."
P39,"Gamification Features","Add gamification elements such as points, badges, and leaderboards.","Add gamification","Boosts user engagement and motivation, encourages repeated use, but adds complexity.","Keep it simple","Easier to manage, but users may be less motivated and engagement may be lower."
P40,"User Analytics System","Implement analytics to track user behavior, progress, and engagement.","Set up analytics","Provides valuable insights for improvement and decision-making, requires setup and monitoring.","Skip analytics","No extra cost, but you lack data to optimize the app and measure success."
P41,"Community Platform","Create a hub or forum where users can interact, share knowledge, and collaborate.","Launch community platform","Encourages collaboration, increases loyalty, but requires moderation and maintenance.","Focus on solo app","Saves resources, but misses the benefits of an engaged community."
P42,"Partnership with Schools","Establish partnerships to integrate your app into classrooms.","Partner with schools","Expands user base and credibility, may require staff time and resources.","Focus on individual users","Saves effort, but growth is slower and credibility may be lower."
P43,"Educational Workshops","Organize workshops for teachers and students to demonstrate your app.","Host workshops","Raises awareness, improves adoption, costs time and budget, but strengthens engagement.","Skip workshops","Saves cost and effort, but loses opportunity for direct user feedback and promotion."
P44,"Premium Features","Add optional paid features or subscription plans to generate revenue.","Introduce premium features","Generates revenue and budget for further development, some users may push back.","Keep free only","Maximizes accessibility, but limits potential revenue and investment in the app."
